Time,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
0,44.3167081732085,26.6718811050176,24.5699282059881,-5.30575755197791,-6.67652340504773,0
0.0015015015015015,44.3164497625279,26.6715293993638,24.5704188534161,-5.3057339565324,-6.6765260230018,0
0.003003003003003,44.315932936689,26.6708259916925,24.5714001401299,-5.30568676448772,-6.67653125841467,0
0.0045045045045045,44.3151576844972,26.6697708910954,24.5728720457744,-5.30561597295968,-6.67653911004828,0
0.00600600600600601,44.3141239880406,26.668364112118,24.5748345377819,-5.30552157733343,-6.67654957592211,0
0.00750750750750751,44.3128318226893,26.6666056747604,24.5772875713738,-5.3054035712633,-6.67656265331365,0
0.00900900900900901,44.3112811570943,26.6644956044763,24.5802310895614,-5.30526194667252,-6.67657833875917,0
0.0105105105105105,44.3094719531863,26.662033932172,24.5836650231486,-5.30509669375289,-6.67659662805461,0
0.012012012012012,44.307404166174,26.6592206942065,24.5875892907333,-5.30490780096438,-6.67661751625668,0
0.0135135135135135,44.3050777445421,26.6560559323899,24.5920037987108,-5.30469525503467,-6.67664099768421,0
0.015015015015015,44.3024926300494,26.6525396939825,24.5969084412768,-5.30445904095857,-6.6766670659196,0
0.0165165165165165,44.2996487577262,26.6486720316939,24.6023031004308,-5.30419914199743,-6.67669571381061,0
0.018018018018018,44.2965460558715,26.6444530036816,24.6081876459798,-5.30391553967842,-6.67672693347221,0
0.0195195195195195,44.2931844460498,26.6398826735494,24.6145619355434,-5.30360821379379,-6.67676071628871,0
0.021021021021021,44.2895638430882,26.634961110346,24.6214258145576,-5.30327714240004,-6.67679705291608,0
0.0225225225225225,44.2856841550725,26.6296883885636,24.6287791162806,-5.30292230181698,-6.67683593328442,0
0.024024024024024,44.2815452833433,26.6240645881357,24.636621661798,-5.30254366662676,-6.67687734660068,0
0.0255255255255255,44.2771471224917,26.6180897944355,24.6449532600288,-5.30214120967282,-6.67692128135154,0
0.027027027027027,44.2724895603553,26.6117640982736,24.6537737077318,-5.30171490205879,-6.67696772530654,0
0.0285285285285285,44.2675724780129,26.6050875958964,24.6630827895122,-5.30126471314723,-6.6770166655213,0
0.03003003003003,44.2623957497797,26.5980603889832,24.6728802778285,-5.30079061055839,-6.67706808834106,0
0.0315315315315315,44.256959243202,26.5906825846443,24.6831659330004,-5.30029256016887,-6.6771219794043,0
0.033033033033033,44.2512628190514,26.5829542954184,24.6939395032164,-5.29977052611019,-6.67717832364667,0
0.0345345345345345,44.245306331319,26.5748756392699,24.7052007245418,-5.2992244707673,-6.67723710530496,0
0.036036036036036,44.2390896272094,26.5664467395865,24.7169493209277,-5.298654354777,-6.67729830792143,0
0.0375375375375375,44.2326125471337,26.5576677251762,24.7291850042196,-5.2980601370263,-6.67736191434818,0
0.039039039039039,44.2258749247035,26.5485387302645,24.741907474167,-5.29744177465074,-6.67742790675182,0
0.0405405405405405,44.2188765867229,26.5390598944914,24.7551164184331,-5.29679922303253,-6.67749626661826,0
0.042042042042042,44.211617353182,26.5292313629082,24.7688115126045,-5.29613243579876,-6.67756697475771,0
0.0435435435435435,44.2040970372489,26.5190532859748,24.7829924202019,-5.2954413648194,-6.67764001130989,0
0.045045045045045,44.1963154452617,26.5085258195558,24.7976587926907,-5.29472596020534,-6.67771535574936,0
0.0465465465465465,44.1882723767205,26.4976491249177,24.8128102694922,-5.29398617030626,-6.67779298689109,0
0.048048048048048,44.179967624279,26.4864233687252,24.8284464779952,-5.29322194170846,-6.67787288289621,0
0.0495495495495495,44.1714009737353,26.4748487230379,24.844567033567,-5.29243321923266,-6.67795502127792,0
0.0510510510510511,44.1625722040233,26.4629253653066,24.8611715395665,-5.29161994593164,-6.67803937890757,0
0.0525525525525526,44.1534810872033,26.4506534783695,24.878259587356,-5.29078206308789,-6.67812593202093,0
0.0540540540540541,44.144127388452,26.4380332504491,24.8958307563139,-5.2899195102111,-6.67821465622467,0
0.0555555555555556,44.1345108660531,26.4250648751477,24.9138846138482,-5.28903222503564,-6.67830552650299,0
0.0570570570570571,44.1246312713869,26.4117485514441,24.9324207154094,-5.28812014351792,-6.67839851722437,0
0.0585585585585586,44.1144883489196,26.3980844836896,24.9514386045044,-5.28718319983371,-6.67849360214859,0
0.0600600600600601,44.1040818361929,26.3840728816038,24.9709378127103,-5.28622132637534,-6.67859075443387,0
0.0615615615615616,44.0934114638128,26.3697139602712,24.9909178596887,-5.28523445374888,-6.67868994664417,0
0.0630630630630631,44.0824769554383,26.3550079401368,25.0113782532005,-5.28422251077115,-6.67879115075668,0
0.0645645645645646,44.0712780277698,26.339955047002,25.0323184891201,-5.28318542446677,-6.67889433816946,0
0.0660660660660661,44.059814390537,26.3245555120207,25.0537380514512,-5.28212312006502,-6.6789994797093,0
0.0675675675675676,44.0480857464873,26.3088095716953,25.0756364123414,-5.2810355209967,-6.67910654563963,0
0.0690690690690691,44.0360917913727,26.2927174678724,25.0980130320984,-5.27992254889088,-6.67921550566871,0
0.0705705705705706,44.0238322139373,26.2762794477388,25.1208673592056,-5.27878412357156,-6.6793263289579,0
0.0720720720720721,44.0113066959044,26.2594957638173,25.1441988303382,-5.27762016305425,-6.67943898413014,0
0.0735735735735736,43.9985149119632,26.2423666739625,25.1680068703794,-5.27643058354253,-6.67955343927858,0
0.0750750750750751,43.985456529755,26.2248924413568,25.1922908924372,-5.27521529942441,-6.67966966197529,0
0.0765765765765766,43.9721312098596,26.207073334506,25.217050297861,-5.27397422326876,-6.67978761928025,0
0.0780780780780781,43.9585386057809,26.1889096272358,25.2422844762589,-5.27270726582149,-6.67990727775036,0
0.0795795795795796,43.9446783639329,26.1704015986868,25.2679928055143,-5.27141433600183,-6.68002860344873,0
0.0810810810810811,43.9305501236243,26.1515495333112,25.2941746518039,-5.27009534089835,-6.680151561954,0
0.0825825825825826,43.9161535170444,26.1323537208684,25.320829369615,-5.26875018576505,-6.68027611836986,0
0.0840840840840841,43.9014881692471,26.1128144564209,25.3479563017634,-5.26737877401724,-6.68040223733474,0
0.0855855855855856,43.8865536981358,26.0929320403307,25.3755547794112,-5.26598100722747,-6.68052988303157,0
0.0870870870870871,43.8713497144474,26.072706778255,25.4036241220848,-5.26455678512122,-6.68065901919775,0
0.0885885885885886,43.8558758217362,26.0521389811425,25.4321636376939,-5.26310600557265,-6.68078960913519,0
0.0900900900900901,43.8401316163578,26.0312289652297,25.4611726225487,-5.26162856460018,-6.68092161572059,0
0.0915915915915916,43.8241166874522,26.0099770520369,25.4906503613798,-5.26012435636201,-6.68105500141568,0
0.0930930930930931,43.8078306169269,25.9883835683649,25.5205961273559,-5.25859327315157,-6.6811897282778,0
0.0945945945945946,43.7912729794397,25.9664488462912,25.551009182103,-5.25703520539286,-6.68132575797044,0
0.0960960960960961,43.7744433423815,25.9441732231665,25.5818887757233,-5.25545004163572,-6.68146305177399,0
0.0975975975975976,43.7573412658583,25.9215570416114,25.6132341468144,-5.25383766855099,-6.68160157059658,0
0.0990990990990991,43.7399663026733,25.8986006495131,25.6450445224881,-5.25219797092563,-6.68174127498511,0
0.100600600600601,43.7223179983084,25.8753044000222,25.6773191183901,-5.25053083165771,-6.68188212513628,0
0.102102102102102,43.7043958909061,25.8516686515499,25.7100571387186,-5.24883613175133,-6.68202408090783,0
0.103603603603604,43.6861995112503,25.8276937677645,25.7432577762445,-5.24711375031144,-6.68216710182989,0
